,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU,Valor m2,Tipo Agregado
438,Conjunto Comercial/Sala,Centro,0,0,0,300,8000.0,4200.0,1130.0,26.67,Comercial
439,Galpão/Depósito/Armazém,Realengo,0,0,0,1170,14310.0,0.0,0.0,12.23,Comercial
440,Prédio Inteiro,Ipanema,0,0,0,500,120000.0,0.0,0.0,240.0,Comercial
441,Conjunto Comercial/Sala,Centro,0,0,0,31,750.0,560.0,82.0,24.19,Comercial
442,Conjunto Comercial/Sala,Leblon,0,0,0,150,25000.0,2400.0,694.0,166.67,Comercial
443,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,27,800.0,640.0,130.0,29.63,Comercial
444,Conjunto Comercial/Sala,Botafogo,0,3,0,140,12500.0,4176.0,0.0,89.29,Comercial
445,Loja Shopping/ Ct Comercial,Santa Cruz,0,847,0,31,2100.0,715.0,0.0,67.74,Comercial
446,Conjunto Comercial/Sala,Centro,0,3,0,328,26293.0,5587.0,0.0,80.16,Comercial
447,Conjunto Comercial/Sala,Centro,0,0,0,70,3600.0,1718.0,243.0,51.43,Comercial
448,Conjunto Comercial/Sala,Botafogo,0,0,0,10,1605.0,0.0,0.0,160.5,Comercial
449,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,19,1000.0,450.0,0.0,52.63,Comercial
450,Loja/Salão,Centro,0,0,0,1245,150000.0,0.0,0.0,120.48,Comercial
451,Conjunto Comercial/Sala,Centro,0,0,0,30,1000.0,600.0,135.0,33.33,Comercial
452,Galpão/Depósito/Armazém,Ramos,0,0,0,14000,150000.0,0.0,10000.0,10.71,Comercial
453,Conjunto Comercial/Sala,Centro,0,3,0,160,12800.0,3300.0,860.0,80.0,Comercial
454,Loja/Salão,Centro,0,0,0,23,4000.0,616.0,135.0,173.91,Comercial
455,Loja/Salão,Gardênia Azul,0,0,0,60,2500.0,0.0,0.0,41.67,Comercial
456,Loja Shopping/ Ct Comercial,Centro,0,0,0,17,5500.0,0.0,73.0,323.53,Comercial
457,Loja/Salão,Vila Isabel,0,1,0,46,2000.0,0.0,223.0,43.48,Comercial
458,Conjunto Comercial/Sala,Taquara,0,0,0,32,650.0,260.0,48.0,20.31,Comercial
459,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,72,100.0,1380.0,312.0,1.39,Comercial
460,Casa Comercial,Taquara,0,0,0,124,4000.0,0.0,2700.0,32.26,Comercial
461,Conjunto Comercial/Sala,Centro,0,0,0,33,1060.0,940.0,0.0,32.12,Comercial
462,Loja/Salão,Maracanã,0,0,0,25,1500.0,0.0,0.0,60.0,Comercial
463,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,23,1300.0,450.0,135.0,56.52,Comercial
464,Conjunto Comercial/Sala,Ipanema,2,0,0,45,5000.0,2200.0,245.0,111.11,Comercial
465,Conjunto Comercial/Sala,Centro,0,0,0,94,3000.0,900.0,337.0,31.91,Comercial
466,Conjunto Comercial/Sala,Centro,0,0,0,40,1100.0,350.0,0.0,27.5,Comercial
467,Conjunto Comercial/Sala,Barra da Tijuca,0,6,0,239,8500.0,7865.0,0.0,35.56,Comercial
468,Conjunto Comercial/Sala,Barra da Tijuca,0,22,0,800,45000.0,31000.0,14000.0,56.25,Comercial
469,Loja/Salão,Recreio dos Bandeirantes,0,1,0,0,1500.0,400.0,0.0,inf,Comercial
470,Conjunto Comercial/Sala,Centro,0,0,0,26,550.0,507.0,84.0,21.15,Comercial
471,Loja/Salão,Centro,0,1,0,42,1300.0,370.0,90.0,30.95,Comercial
472,Conjunto Comercial/Sala,Centro,0,0,0,330,13000.0,5530.0,2045.0,39.39,Comercial
473,Conjunto Comercial/Sala,Tijuca,0,1,0,27,1200.0,850.0,0.0,44.44,Comercial
474,Conjunto Comercial/Sala,Méier,0,0,0,23,800.0,550.0,56.0,34.78,Comercial
475,Box/Garagem,Centro,0,1,0,0,350.0,0.0,79.0,inf,Comercial
476,Conjunto Comercial/Sala,Centro,0,0,0,96,2880.0,1652.0,238.0,30.0,Comercial
477,Conjunto Comercial/Sala,Centro,0,0,0,35,300.0,594.0,0.0,8.57,Comercial
478,Galpão/Depósito/Armazém,Penha,0,0,0,1800,25000.0,0.0,0.0,13.89,Comercial
479,Loja/Salão,Flamengo,0,0,0,42,2000.0,430.0,120.0,47.62,Comercial
480,Loja/Salão,Leblon,0,6,0,1200,244000.0,0.0,0.0,203.33,Comercial
481,Loja/Salão,Barra da Tijuca,0,1,0,50,1600.0,1330.0,360.0,32.0,Comercial
482,Box/Garagem,Centro,0,0,0,9,100.0,446.0,0.0,11.11,Comercial
483,Loja Shopping/ Ct Comercial,Recreio dos Bandeirantes,0,1,0,70,1500.0,1300.0,320.0,21.43,Comercial
484,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,42,4200.0,0.0,0.0,100.0,Comercial
485,Conjunto Comercial/Sala,Centro,0,0,0,35,700.0,317.0,90.0,20.0,Comercial
486,Galpão/Depósito/Armazém,Maria da Graça,0,0,0,1000,9800.0,0.0,7500.0,9.8,Comercial
487,Galpão/Depósito/Armazém,Penha Circular,0,0,0,2800,30000.0,0.0,1800.0,10.71,Comercial
488,Prédio Inteiro,Centro,0,1,0,411,27619.0,12849.0,0.0,67.2,Comercial
489,Conjunto Comercial/Sala,Centro,0,0,0,641,20000.0,7235.0,2704.0,31.2,Comercial
490,Loja/Salão,São Cristóvão,0,0,0,47,500.0,0.0,170.0,10.64,Comercial
491,Conjunto Comercial/Sala,Centro,0,0,0,292,8000.0,7200.0,1700.0,27.4,Comercial
492,Conjunto Comercial/Sala,Centro,0,0,0,58,2800.0,700.0,50.0,48.28,Comercial
493,Galpão/Depósito/Armazém,Camorim,0,0,0,600,9000.0,0.0,0.0,15.0,Comercial
494,Conjunto Comercial/Sala,Barra da Tijuca,0,2,0,40,1900.0,1262.0,295.0,47.5,Comercial
495,Galpão/Depósito/Armazém,Realengo,0,8,0,1000,18000.0,0.0,1500.0,18.0,Comercial
496,Galpão/Depósito/Armazém,Penha Circular,0,0,0,420,3800.0,0.0,460.0,9.05,Comercial
497,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,30,1000.0,620.0,120.0,33.33,Comercial
498,Conjunto Comercial/Sala,Jacarepaguá,0,3,0,142,3500.0,1872.0,1575.0,24.65,Comercial
499,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,25,1000.0,855.0,178.0,40.0,Comercial
